sequence,single_batch_time_consumption,average_batch_accuracy_score_per_batch,avg_throughput_score_per_batch,client_sum_batch_num,client_sum_task_num,client_sum_batch_accuravy_score,client_sum_batch_time_consumption,client_sum_batch_throughput_score,client_task_num_batch
0,0.6037922751903534,1.0,93.78761537800976,1,2,2,0.6037922751903534,93.78761537800976,[2]
0,0.5773926751613617,1.0,93.63553162196717,1,2,2,0.5773926751613617,93.63553162196717,[2]
1,0.5871049120426178,0.0,94.95878740937385,2,4,2,1.1644975872039796,188.59431903134103,"[2, 2]"
2,0.6256650459766387,0.5,93.48357054645894,3,6,3,1.7901626331806182,282.07788957779997,"[2, 2, 2]"
3,0.5898773698806763,0.5014922480931615,93.4524655013482,4,8,4.002984496186323,2.3800400030612945,375.5303550791482,"[2, 2, 2, 2]"
4,0.46882292795181274,0.5,93.57929789753089,5,10,5.002984496186323,2.848862931013107,469.10965297667906,"[2, 2, 2, 2, 2]"
5,1.5319756979942323,0.4530563878552448,93.39841146354541,6,12,5.909097271896813,4.380838629007339,562.5080644402244,"[2, 2, 2, 2, 2, 2]"
6,0.5878991029262542,0.5,93.331243465105,7,14,6.909097271896813,4.968737731933594,655.8393079053294,"[2, 2, 2, 2, 2, 2, 2]"
7,0.5796605508327484,0.5,93.59379589201723,8,16,7.909097271896813,5.5483982827663425,749.4331037973466,"[2, 2, 2, 2, 2, 2, 2, 2]"
8,0.6305753121376038,0.0,93.50366697897353,9,18,7.909097271896813,6.178973594903947,842.9367707763201,"[2, 2, 2, 2, 2, 2, 2, 2, 2]"
9,0.5975520651340485,1.0,94.55161309656371,10,20,9.909097271896812,6.776525660037995,937.4883838728839,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
10,0.5714649629592895,0.5,94.98521527572612,11,22,10.909097271896812,7.347990622997285,1032.47359914861,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
11,0.8859843029975891,0.6645451216313105,94.4955840830846,12,24,12.238187515159433,8.233974925994874,1126.9691832316946,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
12,1.5080984029769897,0.7398047898706344,94.99091754910171,13,26,13.717797094900702,9.742073328971863,1221.9601007807964,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
